timestamp,temp,setpoint_T,OD,setpoint_OD,pH,sparging,media
06-16-20_15:15:12,20.0,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.69,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
06-16-20_15:15:12,20.75,37.0,0.0,0.2,7.0,100,10
